ts,market_id,now,market_end_ts,official_mid,official_source,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,pm_book_age_ms,mock_used,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,action,reason,params_hash
1768070054521,pm-demo-market,1768070054521,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070055521,pm-demo-market,1768070055521,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070056522,pm-demo-market,1768070056522,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070057522,pm-demo-market,1768070057522,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070058526,pm-demo-market,1768070058526,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070059531,pm-demo-market,1768070059531,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070060532,pm-demo-market,1768070060532,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070061535,pm-demo-market,1768070061535,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070062541,pm-demo-market,1768070062541,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070063552,pm-demo-market,1768070063552,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070064556,pm-demo-market,1768070064556,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070065563,pm-demo-market,1768070065563,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070066576,pm-demo-market,1768070066576,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070067577,pm-demo-market,1768070067577,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070068577,pm-demo-market,1768070068577,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070069578,pm-demo-market,1768070069578,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070070582,pm-demo-market,1768070070582,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070071587,pm-demo-market,1768070071587,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070072593,pm-demo-market,1768070072593,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070073595,pm-demo-market,1768070073595,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070074598,pm-demo-market,1768070074598,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070075602,pm-demo-market,1768070075602,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070076603,pm-demo-market,1768070076603,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070077605,pm-demo-market,1768070077605,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070078619,pm-demo-market,1768070078619,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070079620,pm-demo-market,1768070079620,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070080620,pm-demo-market,1768070080620,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070081624,pm-demo-market,1768070081624,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070082624,pm-demo-market,1768070082624,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070083627,pm-demo-market,1768070083627,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070084628,pm-demo-market,1768070084628,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070085635,pm-demo-market,1768070085635,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070086636,pm-demo-market,1768070086636,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070087643,pm-demo-market,1768070087643,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070088652,pm-demo-market,1768070088652,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070089653,pm-demo-market,1768070089653,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070090658,pm-demo-market,1768070090658,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070091662,pm-demo-market,1768070091662,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070092662,pm-demo-market,1768070092662,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070093663,pm-demo-market,1768070093663,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070094664,pm-demo-market,1768070094664,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
1768070095672,pm-demo-market,1768070095672,1768073654521,,NONE,,,,,,,false,,,,,,NO_TRADE,FEED_STALE_ABORT,
