ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash
1767997098575,v1.1,eligible-demo,1767997098575,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997099610,v1.1,eligible-demo,1767997099610,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997100665,v1.1,eligible-demo,1767997100665,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997101726,v1.1,eligible-demo,1767997101726,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997102784,v1.1,eligible-demo,1767997102784,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997104040,v1.1,eligible-demo,1767997104040,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997105293,v1.1,eligible-demo,1767997105293,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,-1,,,,,False,RESOLUTION_UNKNOWN,-1,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997106534,v1.1,eligible-demo,1767997106534,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997107682,v1.1,eligible-demo,1767997107682,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997108785,v1.1,eligible-demo,1767997108785,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997109888,v1.1,eligible-demo,1767997109888,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997110956,v1.1,eligible-demo,1767997110956,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997112007,v1.1,eligible-demo,1767997112007,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997113071,v1.1,eligible-demo,1767997113071,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997114138,v1.1,eligible-demo,1767997114138,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997115206,v1.1,eligible-demo,1767997115206,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997116276,v1.1,eligible-demo,1767997116276,1768002400000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
