ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash
1767996872343,v1.1,540844,1767996872343,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996873360,v1.1,540844,1767996873360,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996874379,v1.1,540844,1767996874379,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996875405,v1.1,540844,1767996875405,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996876422,v1.1,540844,1767996876422,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996877441,v1.1,540844,1767996877441,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996878458,v1.1,540844,1767996878458,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996879481,v1.1,540844,1767996879481,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996880503,v1.1,540844,1767996880503,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996881522,v1.1,540844,1767996881522,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996882548,v1.1,540844,1767996882548,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,-1,,,,,False,UNSUPPORTED_RULES,-1,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996883578,v1.1,540844,1767996883578,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,-1,,,,,False,UNSUPPORTED_RULES,-1,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996884607,v1.1,540844,1767996884607,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996885637,v1.1,540844,1767996885637,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996886674,v1.1,540844,1767996886674,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996887708,v1.1,540844,1767996887708,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996888743,v1.1,540844,1767996888743,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996889779,v1.1,540844,1767996889779,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767996890813,v1.1,540844,1767996890813,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,-1,,,,,False,UNSUPPORTED_RULES,-1,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
