ts,market_id,now,market_end_ts,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash
1767991456431,540844,1767991456431,1785456000000,BINANCE,BTCUSDT,90199.955,True,,-2366,0.48,0.49,0.51,0.52,True,,-2806,,,,,,,,,,,NO_TRADE:MODEL_WARMUP,MODEL_WARMUP,MODEL_WARMUP,[],0.0000,0.0000,0.0000,0,False,
1767991460237,540844,1767991460237,1785456000000,BINANCE,BTCUSDT,90199.955,True,,-2251,0.48,0.49,0.51,0.52,True,,-2668,,,,,,,,,,,NO_TRADE:MODEL_WARMUP,MODEL_WARMUP,MODEL_WARMUP,[],0.0000,0.0000,0.0000,0,False,
1767991463905,540844,1767991463905,1785456000000,BINANCE,BTCUSDT,90174.655,True,,-2144,0.48,0.49,0.51,0.52,True,,-2557,,,,,,,,,,,NO_TRADE:MODEL_WARMUP,MODEL_WARMUP,MODEL_WARMUP,[],0.0000,0.0000,0.0000,0,False,
1767991467463,540844,1767991467463,1785456000000,BINANCE,BTCUSDT,90163.975,True,,-2163,0.48,0.49,0.51,0.52,True,,-2591,0.49,0.52,,-0.49,0.48,4800.0,4800.0,194.17475728155355,,drift_bps=4.0|vol_bps=1.1,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991471054,540844,1767991471054,1785456000000,BINANCE,BTCUSDT,90163.63500000001,True,,-2140,0.48,0.49,0.51,0.52,True,,-2563,0.49,0.52,,-0.49,0.48,4800.0,4800.0,194.17475728155355,,drift_bps=4.0|vol_bps=1.1,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991474620,540844,1767991474620,1785456000000,BINANCE,BTCUSDT,90157.975,True,,-2120,0.48,0.49,0.51,0.52,True,,-2541,0.49,0.52,,-0.49,0.48,4800.0,4800.0,194.17475728155355,,drift_bps=4.7|vol_bps=1.0,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991478162,540844,1767991478162,1785456000000,BINANCE,BTCUSDT,90155.995,True,,-2192,0.48,0.49,0.51,0.52,True,,-2618,0.49,0.52,,-0.49,0.48,4800.0,4800.0,194.17475728155355,,drift_bps=4.9|vol_bps=1.0,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991481781,540844,1767991481781,1785456000000,BINANCE,BTCUSDT,90162.56,True,,-2175,0.48,0.49,0.51,0.52,True,,-2571,0.49,0.52,0.16666666666666666,-0.32333333333333336,0.31333333333333335,3133.3333333333335,3133.3333333333335,194.17475728155355,,drift_bps=4.1|vol_bps=1.1,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991485353,540844,1767991485353,1785456000000,BINANCE,BTCUSDT,90161.575,True,,-2151,0.48,0.49,0.51,0.52,True,,-2578,0.49,0.52,0.2857142857142857,-0.2042857142857143,0.19428571428571428,1942.857142857143,1942.857142857143,194.17475728155355,,drift_bps=4.3|vol_bps=1.0,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991488932,540844,1767991488932,1785456000000,BINANCE,BTCUSDT,90161.155,True,,-2138,0.48,0.49,0.51,0.52,True,,-2570,0.49,0.52,0.25,-0.24,0.22999999999999998,2300.0,2300.0,194.17475728155355,,drift_bps=4.3|vol_bps=1.0,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991492502,540844,1767991492502,1785456000000,BINANCE,BTCUSDT,90149.995,True,,-2422,0.48,0.49,0.51,0.52,True,,-2822,0.49,0.52,0.2222222222222222,-0.2677777777777778,0.2577777777777778,2577.777777777778,2577.777777777778,194.17475728155355,,drift_bps=5.5|vol_bps=0.9,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991496325,540844,1767991496325,1785456000000,BINANCE,BTCUSDT,90145.995,True,,-2157,0.48,0.49,0.51,0.52,True,,-2689,0.49,0.52,0.2,-0.29,0.28,2800.0000000000005,2800.0000000000005,194.17475728155355,,drift_bps=6.0|vol_bps=0.9,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991500017,540844,1767991500017,1785456000000,BINANCE,BTCUSDT,90155.775,True,,-2208,0.48,0.49,0.51,0.52,True,,-2678,0.49,0.52,0.2727272727272727,-0.21727272727272728,0.20727272727272728,2072.727272727273,2072.727272727273,194.17475728155355,,drift_bps=4.9|vol_bps=1.0,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991503697,540844,1767991503697,1785456000000,BINANCE,BTCUSDT,90170.025,True,,-2149,0.48,0.49,0.51,0.52,True,,-2565,0.49,0.52,0.3333333333333333,-0.15666666666666668,0.14666666666666672,1466.6666666666672,1466.6666666666672,194.17475728155355,,drift_bps=3.3|vol_bps=1.1,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991507263,540844,1767991507263,1785456000000,BINANCE,BTCUSDT,90169.565,True,,-2120,0.48,0.49,0.51,0.52,True,,-2594,0.49,0.52,0.38461538461538464,-0.10538461538461535,0.0953846153846154,953.846153846154,953.846153846154,194.17475728155355,,drift_bps=3.4|vol_bps=1.0,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991510857,540844,1767991510857,1785456000000,BINANCE,BTCUSDT,90156.1,True,,-2132,0.48,0.49,0.51,0.52,True,,-2554,0.49,0.52,0.35714285714285715,-0.13285714285714284,0.12285714285714278,1228.5714285714278,1228.5714285714278,194.17475728155355,,drift_bps=4.9|vol_bps=1.0,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
1767991514411,540844,1767991514411,1785456000000,BINANCE,BTCUSDT,90160.98999999999,True,,-2142,0.48,0.49,0.51,0.52,True,,-2546,0.49,0.52,0.3333333333333333,-0.15666666666666668,0.14666666666666672,1466.6666666666672,1466.6666666666672,194.17475728155355,,drift_bps=4.3|vol_bps=1.0,NO_TRADE:EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,EDGE_BELOW_NET_MIN,[],0.0000,0.0000,0.0000,0,False,
