ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative
1768010619695,v1.1,KXBTC2026250-27JAN01-250000,1768010619695,0,,,,KALSHI,KXBTC2026250-27JAN01-250000,,False,,,,,,,True,,,,,,,,,,0.0,0.0,,,,,,NO_TRADE,BOOK_SANITY,BOOK_SANITY: yes_levels=6 no_levels=34 yes_bid=6 no_bid=93,"[""BOOK_SANITY: yes_levels=6 no_levels=34 yes_bid=6 no_bid=93""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768010619695,v1.1,KXBTC2026250-27JAN01-250000,1768010619695,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,OFFICIAL_VENUE_UNKNOWN,OFFICIAL_VENUE_UNKNOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010621921,v1.1,KXBTC2026250-27JAN01-250000,1768010621921,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010623134,v1.1,KXBTC2026250-27JAN01-250000,1768010623134,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010624345,v1.1,KXBTC2026250-27JAN01-250000,1768010624345,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010625577,v1.1,KXBTC2026250-27JAN01-250000,1768010625577,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010626808,v1.1,KXBTC2026250-27JAN01-250000,1768010626808,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010628044,v1.1,KXBTC2026250-27JAN01-250000,1768010628044,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010629258,v1.1,KXBTC2026250-27JAN01-250000,1768010629258,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010630483,v1.1,KXBTC2026250-27JAN01-250000,1768010630483,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,OFFICIAL_VENUE_UNKNOWN,OFFICIAL_VENUE_UNKNOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010632665,v1.1,KXBTC2026250-27JAN01-250000,1768010632665,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010633873,v1.1,KXBTC2026250-27JAN01-250000,1768010633873,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010635078,v1.1,KXBTC2026250-27JAN01-250000,1768010635078,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010636343,v1.1,KXBTC2026250-27JAN01-250000,1768010636343,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010637574,v1.1,KXBTC2026250-27JAN01-250000,1768010637574,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010638813,v1.1,KXBTC2026250-27JAN01-250000,1768010638813,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010640036,v1.1,KXBTC2026250-27JAN01-250000,1768010640036,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010641266,v1.1,KXBTC2026250-27JAN01-250000,1768010641266,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,OFFICIAL_VENUE_UNKNOWN,OFFICIAL_VENUE_UNKNOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010643430,v1.1,KXBTC2026250-27JAN01-250000,1768010643430,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010644641,v1.1,KXBTC2026250-27JAN01-250000,1768010644641,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010645882,v1.1,KXBTC2026250-27JAN01-250000,1768010645882,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010647118,v1.1,KXBTC2026250-27JAN01-250000,1768010647118,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010648317,v1.1,KXBTC2026250-27JAN01-250000,1768010648317,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010649588,v1.1,KXBTC2026250-27JAN01-250000,1768010649588,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
1768010650797,v1.1,KXBTC2026250-27JAN01-250000,1768010650797,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026250-27JAN01-250000,,False,RESOLUTION_UNKNOWN,0,0.06,0.07,,,True,,0,,,,,,,,1666.666666666668,0.0,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,[],0.0,0.0,0.0,0,False,,,,,,,,,,
