ts,market_id,now,market_end_ts,official_mid,official_source,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,pm_book_age_ms,mock_used,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,action,reason,params_hash
1768070105066,pm-demo-market,1768070105066,1768073705066,90445.075,coinbase,537,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070106282,pm-demo-market,1768070106282,1768073705066,90445.075,coinbase,1196,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070107394,pm-demo-market,1768070107394,1768073705066,90445.575,coinbase,869,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070108510,pm-demo-market,1768070108510,1768073705066,90445.57,coinbase,1985,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070109655,pm-demo-market,1768070109655,1768073705066,90445.945,coinbase,3130,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070110767,pm-demo-market,1768070110767,1768073705066,90445.945,coinbase,1359,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070111887,pm-demo-market,1768070111887,1768073705066,90445.945,coinbase,1389,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070113005,pm-demo-market,1768070113005,1768073705066,90445.945,coinbase,1291,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070114127,pm-demo-market,1768070114127,1768073705066,90445.945,coinbase,2413,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070115267,pm-demo-market,1768070115267,1768073705066,90445.995,coinbase,752,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070116462,pm-demo-market,1768070116462,1768073705066,90445.995,coinbase,1947,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070117585,pm-demo-market,1768070117585,1768073705066,90445.985,coinbase,482,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070118700,pm-demo-market,1768070118700,1768073705066,90445.98999999999,coinbase,556,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070119837,pm-demo-market,1768070119837,1768073705066,90445.995,coinbase,994,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070120974,pm-demo-market,1768070120974,1768073705066,90445.995,coinbase,1333,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070122100,pm-demo-market,1768070122100,1768073705066,90445.995,coinbase,1838,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070123224,pm-demo-market,1768070123224,1768073705066,90450.82,coinbase,1150,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070124347,pm-demo-market,1768070124347,1768073705066,90450.815,coinbase,1964,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070125490,pm-demo-market,1768070125490,1768073705066,90450.815,coinbase,1673,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070126611,pm-demo-market,1768070126611,1768073705066,90453.055,coinbase,1671,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070127756,pm-demo-market,1768070127756,1768073705066,90453.515,coinbase,616,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070128935,pm-demo-market,1768070128935,1768073705066,90453.515,coinbase,1464,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070130049,pm-demo-market,1768070130049,1768073705066,90454.565,coinbase,1257,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070131175,pm-demo-market,1768070131175,1768073705066,90454.565,coinbase,489,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070132295,pm-demo-market,1768070132295,1768073705066,90454.565,coinbase,1229,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070133430,pm-demo-market,1768070133430,1768073705066,90454.565,coinbase,792,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070134582,pm-demo-market,1768070134582,1768073705066,90454.565,coinbase,1944,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070135727,pm-demo-market,1768070135727,1768073705066,90454.57,coinbase,1332,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
1768070136939,pm-demo-market,1768070136939,1768073705066,90454.57,coinbase,1183,,,,,,false,,,,,,NO_TRADE,BOOK_DATA_MISSING,
