ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative,model_name,sigma,r,d2,fair_yes_pv,fair_yes_prob,discount_factor,fair_up_prob_semantics,depth_qty_total,depth_notional_total_usd,best_yes_bid,best_yes_ask,best_no_bid,best_no_ask
1768061306851,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061306851,0,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,RESOLUTION_UNKNOWN,0,50,51,49,50,True,,0,,,,,,,,0.0,0.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,BOOK_SANITY,BOOK_SANITY: yes_levels=23 no_levels=27 BOOK_SHA1:152edd2b12,"[""BOOK_SANITY: yes_levels=23 no_levels=27 BOOK_SHA1:152edd2b12""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768061306854,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061306854,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90580.85500000001,True,RESOLUTION_UNKNOWN,1173,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.23431993909946314,-0.27568006090053687,0.2228224677407028,2228.224677407028,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,WARMUP,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.6909070050129879,0.23431993909946314,0.24481199184667662,0.9571424068401659,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
1768061308262,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061308262,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90580.85500000001,True,RESOLUTION_UNKNOWN,932,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.23431993828632758,-0.27568006171367243,0.22282247047554804,2228.2247047554806,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=?,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.6909070092807139,0.23431993828632758,0.24481199050560853,0.9571424087618756,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
1768061309536,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061309536,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90580.85500000001,True,RESOLUTION_UNKNOWN,1000,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.23431993755057828,-0.2756800624494217,0.22282247295011692,2228.2247295011693,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.6909070131422792,0.23431993755057828,0.2448119892921703,0.9571424105006953,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
1768061310753,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061310753,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90580.85500000001,True,RESOLUTION_UNKNOWN,1004,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.2343199368477471,-0.2756800631522529,0.22282247531397126,2228.2247531397124,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.6909070168310744,0.2343199368477471,0.24481198813302246,0.9571424121617184,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
1768061311989,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061311989,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90580.85500000001,True,RESOLUTION_UNKNOWN,1539,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.23431993613394306,-0.2756800638660569,0.22282247771473063,2228.224777147306,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.6909070205774602,0.23431993613394306,0.24481198695577766,0.9571424138486737,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
1768061313181,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061313181,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90580.85500000001,True,RESOLUTION_UNKNOWN,2748,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.2343199354455493,-0.2756800645544507,0.22282248003002625,2228.2248003002624,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.69090702419048,0.2343199354455493,0.24481198582044106,0.9571424154755755,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
1768061314390,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061314390,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90580.85500000001,True,RESOLUTION_UNKNOWN,3954,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.23431993474733784,-0.2756800652526622,0.22282248237834212,2228.224823783421,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.6909070278550282,0.23431993474733784,0.24481198466891252,0.9571424171256799,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
1768061315599,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061315599,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90585.295,True,RESOLUTION_UNKNOWN,274,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.23434292298111847,-0.27565707701888154,0.22279949579466585,2227.9949579466584,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.5|vol_bps=0.2,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.6908305992979411,0.23434292298111847,0.24483600181554022,0.9571424187757843,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
1768061316828,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061316828,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90585.295,True,RESOLUTION_UNKNOWN,1083,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.2343429222717975,-0.27565707772820247,0.2227994981813881,2227.994981813881,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.5|vol_bps=0.2,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.6908306030215823,0.2343429222717975,0.2448360006453808,0.9571424204531856,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
1768061318037,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061318037,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90585.295,True,RESOLUTION_UNKNOWN,2297,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.23434292157401945,-0.27565707842598053,0.22279950052927056,2227.9950052927056,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.5|vol_bps=0.2,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.6908306066846276,0.23434292157401945,0.2448359994942637,0.95714242210329,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
1768061319248,v1.1,KXBTCMAXY-26DEC31-119999.99,1768061319248,1798779540000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAXY-26DEC31-119999.99,90585.295,True,RESOLUTION_UNKNOWN,1748,0.5,0.51,0.49,0.5,True,,0,0.51,0.5,0.234342920875087,-0.275657079124913,0.22279950288103711,2227.995028810371,,198.0198019801982,6873.6,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.5|vol_bps=0.1,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:6012"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:152edd2b12"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.6908306103537328,0.234342920875087,0.24483599834124228,0.9571424237561241,PV_DISCOUNTED,384570.0,192285.0,0.5,0.51,0.49,0.5
